['bedlam', 'lambed']
['howres', 'reshow']
['strait', 'traits']
['dimple', 'impled']
['dreare', 'reared']
['dunite', 'united']
['pintos', 'spinto']
['altern', 'ternal']
['errant', 'ranter']
['enders', 'sender']
['strain', 'trains']
['impart', 'partim']
['enlist', 'listen']
['supper', 'uppers']
['emoter', 'remote']
['oughts', 'sought']
['layers', 'slayer']
